Pokemon,Trainer,Level,Move 1,Move 2,Move 3,Move 4
Aromatisse,Pokéfan Vanessa,72,Moonblast,Psychic,Nasty Plot,Trick Room
Arrokuda,Fisherman Elliot,13,Aqua Jet,Bite,Peck,Laser Focus
Articuno_Galarian,Pokemon Trainer May [Boss],73,Hurricane,Freezing Glare,Calm Mind,Recover
Articuno_Galarian,Elite Four Sidney [Double],99,Hurricane,Freezing Glare,Hypnosis,Tailwind
Audino,Ruin Maniac Garrison [Double Battle With Tuber Jani],65,Moonblast,Follow Me,Life Dew,Trick Room
Audino,Young Couple Brian&Casey [Double],72,Icy Wind,Heal Pulse,Helping Hand,Follow Me
Aurorus,Leader Roxanne [Boss],24,Body Slam,Power Gem,Discharge,Earth Power
Aurorus,Bird Keeper Josue [Double Battle With Ruin Maniac Andres],64,Meteor Beam,Hyper Voice,Freeze Dry,Icy Wind
Aurorus,Ruin Maniac Chip,69,Hyper Voice,Freeze Dry,Earth Power,Substitute
Avalugg,Team Aqua Grunt,74,Avalanche,Stone Edge,Body Press,Mirror Coat
Avalugg_Hisuian,Cool Trainer Carolina [Double Battle With Sailor Cory],64,Avalanche,Rock Slide,High Horsepower,Protect
Azelf,Leader Tate [Boss],84,Future Sight,Explosion,Knock Off,Stealth Rock
Azumarill,Leader Norman [Boss],40,Play Rough,Waterfall,Aqua Jet,Body Slam
Azumarill,Tuber Simon,57,Play Rough,Aqua Tail,Aqua Jet,Ice Punch
Azumarill,Gentleman Walter,70,Aqua Tail,Play Rough,Aqua Jet,Knock Off
Azumarill,Swimmer♂ Cranberry,81,Play Rough,Aqua Jet,Ice Punch,Belly Drum
Azumarill,Pokemon Trainer Wally,94,Play Rough,Aqua Jet,Knock Off,Belly Drum
Azumarill,Psychic Alix,96,Play Rough,Aqua Jet,Ice Punch,Knock Off
Banette,Ninja Boy Yasu [Double Battle With Guitarist Fabian],65,Poltergeist,Shadow Sneak,Icy Wind,Will O Wisp
Banette,Fisherman Roger [Double Battle With Black Belt Koji],90,Shadow Claw,Foul Play,Swagger,Thunder Wave
Barbaracle,Cool Trainer Parker,40,Stone Edge,Razor Shell,Cross Chop,Shadow Claw
Barbaracle,Sailor Dwayne,58,Stone Edge,Razor Shell,Cross Chop,Shell Smash
Barbaracle,Team Aqua Grunt Jazz,60,Stone Edge,Liquidation,Aerial Ace,Stealth Rock
Barraskewda,Fisherman Andrew,39,Liquidation,Drill Run,Throat Chop,Ice Fang
Barraskewda,Fisherman Kai,47,Liquidation,Flip Turn,Aqua Jet,Close Combat
Barraskewda,Parasol Lady Koko,60,Liquidation,Flip Turn,Close Combat,Psychic Fangs
Barraskewda,Champion Wallace,100,Liquidation,Flip Turn,,
Basculegion,Leader Juan [Double] [Boss],92,Aqua Tail,Spirit Shackle,Aqua Jet,Protect
Basculegion,Bug Catcher Davis,95,Aqua Tail,Spirit Shackle,Head Smash,Destiny Bond
Basculin,Fisherman Barny,59,Liquidation,Flip Turn,,
Basculin,Team Aqua Grunt [Double Battle With Team Aqua Grunt],73,Liquidation,,,
Bastiodon,Hiker Trent,54,Heavy Slam,Metal Burst,Stealth Rock,Roar
Beartic,Cool Trainer Brooke,44,Icicle Spear,Superpower,Rock Slide,Aqua Jet
Beartic,Fisherman Barny,59,Icicle Crash,Liquidation,Low Kick,Swords Dance
Beartic,Swimmer♀ Tisha,87,Icicle Crash,Liquidation,Body Press,Throat Chop
Beartic,Lass Pearl,89,Icicle Crash,Liquidation,Low Kick,Swords Dance
Beautifly,Bug Catcher Kent,63,Bug Buzz,Air Slash,Quiver Dance,Stun Spore
Beedrill,Bug Catcher Greg,63,X Scissor,Drill Run,Knock Off,Focus Energy
Beedrill,Bird Keeper Josue [Double Battle With Ruin Maniac Andres],65,Poison Jab,X Scissor,Drill Run,Protect
Beedrill,Cool Trainer Quincy,95,X Scissor,Drill Run,Knock Off,Swords Dance
Beheeyem,Ruin Maniac Garrison [Double Battle With Tuber Jani],64,Psychic,Meteor Beam,Shadow Ball,Trick Room
Beheeyem,Hex Maniac Leah,73,Psychic,Meteor Beam,Signal Beam,Recover
Bellossom,Camper Tyron [Double Battle With Aroma Lady Celina],33,Moonblast,Giga Drain,Sleep Powder,Strength Sap
Bewear,Camper Branden,44,Body Slam,Drain Punch,Zen Headbutt,Payback
Bewear,Black Belt Nob,52,Hammer Arm,Body Slam,Retaliate,Counter
Bewear,Gentleman Walter,71,Drain Punch,Payback,Bulk Up,Protect
Bibarel,Camper Gavi,16,Headbutt,Aqua Jet,Pluck,Super Fang
Bibarel,Triathlete Julio,50,Body Slam,Waterfall,Stomping Tantrum,Curse
Bisharp,Leader Roxanne [Boss],23,Iron Head,Knock Off,Brick Break,Grass Knot
Bisharp,Twins Tori & Tia [Double],44,Iron Head,Sucker Punch,Knock Off,Low Kick
Bisharp,Ninja Boy Riley,69,Iron Head,Sucker Punch,Pursuit,Zen Headbutt
Bisharp,Team Magma Grunt,85,Iron Head,Pursuit,Psycho Cut,Low Kick
Bisharp,Battle Girl Helene,95,Iron Head,Sucker Punch,Knock Off,Substitute
Blacephalon,Magma Admin Tabitha,78,Flamethrower,Shadow Ball,Explosion,Psyshock
Blastoise,Cool Trainer Alexia,38,Scald,Body Press,Iron Defense,Protect
Blastoise,Aqua Admin Shelly [Boss],65,Surf,Dragon Pulse,Dark Pulse,Shell Smash
Blastoise,Pokemon Trainer May [Double] [Boss],66,Muddy Water,Terrain Pulse,Fake Out,Protect
Blastoise,Sis And Bro Lila & Roy [Double],87,Muddy Water,Focus Blast,Icy Wind,Fake Out
Blastoise,Swimmer♂ Rodney,89,Scald,Body Press,Iron Defense,Protect
Blastoise,Cool Trainer Caroline,94,Scald,Earthquake,Ice Beam,Shell Smash
Blastoise,Elite Four Phoebe [Double],99,Muddy Water,Focus Blast,Follow Me,Fake Out
Blaziken,Cool Trainer Randall,38,Blaze Kick,Reversal,Thunder Punch,Night Slash
Blaziken,Pokemon Trainer May [Boss],38,Overheat,Close Combat,Blaze Kick,Stone Edge
Blaziken,Battle Girl Danielle,55,Overheat,Close Combat,Brave Bird,Knock Off
Blaziken,Pokemon Trainer May [Double] [Boss],66,Close Combat,Brave Bird,Thunder Punch,Swords Dance
Blaziken,Bird Keeper Jared,68,Close Combat,Flare Blitz,Acrobatics,Swords Dance
Blaziken,Pokemon Trainer May [Boss],73,Close Combat,Flare Blitz,Knock Off,Swords Dance
Blaziken,Cool Trainer Samuel,95,Close Combat,Flare Blitz,Stone Edge,Swords Dance
Blaziken,Black Belt Koichi,96,Close Combat,Blaze Kick,Knock Off,Swords Dance
Blipbug,Fisherman Bill,16,Struggle Bug,,,
Blissey,Kindler Keegan,55,Hyper Voice,Fire Blast,Psychic,Counter
Boldore,Hiker Marc,23,Rock Slide,Stomping Tantrum,Sand Tomb,Sandstorm
Boltund,Pokemon Breeder Corgi,27,Thunder Fang,Psychic Fangs,Crunch,Howl
Boltund,Hiker Eric [Double Battle With Picnicker Autumn],53,Thunder Fang,Psychic Fangs,Crunch,Snarl
Bouffalant,Cool Trainer Berke,41,Head Charge,Wild Charge,Lash Out,Reversal
Bouffalant,Camper Ethan,52,Head Charge,Megahorn,Zen Headbutt,Revenge
Bouffalant,Team Aqua Grunt,78,Head Charge,Surf,Lash Out,Work Up
Braviary,Triathlete Anthony,34,Return,Dual Wingbeat,Close Combat,Agility
Braviary,Expert Mollie [Double Battle With Expert Conor],90,Double Edge,Dual Wingbeat,Close Combat,Tailwind
Braviary_Hisuian,Cool Trainer Caroline,95,Hurricane,Psychic,Heat Wave,Agility
Breloom,Black Belt Takao,19,Wake Up Slap,Bullet Seed,Mach Punch,Spore
Breloom,Winstrate Vito [Boss],47,Sky Uppercut,Mach Punch,Bullet Seed,Spore
Breloom,Battle Girl Cyndy,52,Drain Punch,Facade,Bulk Up,Protect
Breloom,Team Aqua Grunt Jazz,60,Mach Punch,Bullet Seed,Rock Tomb,Spore
Breloom,Pokemon Breeder Gabrielle,74,Force Palm,Mach Punch,Bullet Seed,Swords Dance
Breloom,Cool Trainer Specter,94,Close Combat,Mach Punch,Bullet Seed,Rock Tomb
Breloom,Expert Timothy,96,Mach Punch,Bullet Seed,Rock Tomb,Swords Dance
Brionne,Lass Janice,22,Echoed Voice,,,
Bronzong,Expert Nancy,50,Gyro Ball,Explosion,Earthquake,Trick
Bronzong,Hiker Brice,53,Future Sight,Gyro Ball,Explosion,Trick Room
Bronzong,Psychic Kayla,73,Gyro Ball,Body Press,Payback,Iron Defense
Bronzong,Psychic Blake [Double Battle With Psychic Samantha],85,Heavy Slam,Body Press,Metal Sound,Trick Room
Bruxish,Fisherman Andrew,39,Psychic Fangs,Aqua Jet,Crunch,Poison Fang
Bruxish,Twins Tori & Tia [Double],45,Psychic Fangs,Liquidation,Crunch,Bulk Up
Bruxish,Beauty Johanna,58,Aqua Tail,Psychic Fangs,Crunch,Screech
Bruxish,Team Aqua Grunt,88,Aqua Tail,Psychic Fangs,Aqua Jet,Crunch
Bruxish,Triathlete Chase [Double Battle With Triathlete Allison],88,Psychic Fangs,Aqua Jet,Light Screen,Reflect
Bruxish,Bird Keeper Aidan [Double Battle With Cool Trainer Athena],89,Liquidation,Psychic Fangs,Icy Wind,Super Fang
Bruxish,Lady Daphne,91,Liquidation,Psychic Fangs,Crunch,Swords Dance
Buizel,Sailor Edmond,15,Water Pulse,Aqua Jet,Pursuit,Sonic Boom
Buneary,Black Belt Takao,19,Fake Out,Jump Kick,Triple Axel,
Butterfree,Picnicker Bianca,33,Hurricane,Bug Buzz,,
Buzzwole,Magma Admin Courtney,87,Leech Life,Drain Punch,Stone Edge,Ice Punch
Cacturne,Ninja Boy Jinra,43,Seed Bomb,Payback,Focus Punch,Substitute
Cacturne,Team Magma Grunt,75,Dark Pulse,Seed Bomb,Drain Punch,Growth
Calyrex_Ice_Rider,Elite Four Glacia,100,Glacial Lance,High Horsepower,Substitute,Swords Dance
Calyrex_Ice_Rider,Elite Four Glacia [Double],100,Glacial Lance,Zen Headbutt,Close Combat,Trick Room
Camerupt,Kindler Hayden,34,Earthquake,Flamethrower,Explosion,Stone Edge
Camerupt,Hiker Brice,52,Eruption,Earth Power,Flamethrower,Rock Slide
Camerupt,Magma Leader Maxie [Boss],54,Earth Power,Flamethrower,Rock Slide,Substitute
Camerupt,Team Magma Grunt,76,Eruption,Earthquake,Explosion,Stone Edge
Carbink,Cool Trainer Quincy,94,Explosion,Body Press,Spikes,Stealth Rock
Carkol,Youngster Tommy,23,Ancient Power,Incinerate,Scorching Sands,Sand Tomb
Carnivine,Hex Maniac Tasha,73,Leaf Storm,Power Whip,Knock Off,Infestation
Carnivine,Team Magma Grunt,76,Leaf Storm,Leaf Blade,Knock Off,Sleep Powder
Carracosta,Leader Roxanne [Boss],24,Razor Shell,Ancient Power,Aqua Jet,Zen Headbutt
Carracosta,Team Aqua Grunt,80,Hydro Pump,Stone Edge,Ice Beam,Stealth Rock
Carvanha,Team Aqua Grunt [Boss],11,Bite,Water Pulse,Aqua Jet,Poison Fang
Castform,Ninja Boy Yasu [Double Battle With Guitarist Fabian],64,Thunder,Hurricane,Weather Ball,Icy Wind
Caterpie,Fisherman Bill,15,Bug Bite,,,
Celesteela,Leader Winona [Boss],69,Heavy Slam,Earthquake,Flamethrower,Rock Slide
Centiskorch,Winstrate Victoria,44,Fire Lash,Skitter Smack,Coil,Protect
Centiskorch,Kindler Axle,55,Fire Lash,Leech Life,Thunder Fang,Coil
Centiskorch,Team Magma Grunt,75,Fire Lash,Leech Life,Coil,Protect
Chandelure,Kindler Jace,53,Fire Blast,Shadow Ball,Hex,Psychic
Chandelure,Team Magma Grunt,75,Flamethrower,Hex,Substitute,Will O Wisp
Chandelure,Cool Trainer Michelle,94,Fire Blast,Shadow Ball,Energy Ball,Hidden Power Ice
Chandelure,Elite Four Phoebe [Double],100,Fire Blast,Heat Wave,Shadow Ball,Protect
Chansey,Parasol Lady Angelica,71,Seismic Toss,Counter,Soft Boiled,Toxic
Charizard,Ninja Boy Jinra,44,Flamethrower,Dual Wingbeat,Dragon Claw,Weather Ball
Charizard,Kindler Bryant [Double Battle With Aroma Lady Shayla],50,Heat Wave,Flamethrower,Air Slash,Solar Beam
Charizard,Leader Flannery [Double] [Boss],58,Fire Blast,Heat Wave,Air Slash,Solar Beam
Charizard,Bird Keeper Colin,69,Burn Up,Hurricane,Weather Ball,Counter
Charizard,Team Magma Grunt,73,Dual Wingbeat,Flame Charge,Earthquake,Belly Drum
Charizard,Magma Admin Courtney,87,Flare Blitz,Dragon Claw,Dragon Dance,Roost
Charizard,Triathlete Xayah,89,Flamethrower,Flame Charge,Solar Beam,Roost
Charizard,Psychic Jacki [Double Battle With Bird Keeper Alberto],95,Burn Up,Hurricane,Focus Blast,Weather Ball
Charizard,Cool Trainer Edgar,96,Heat Wave,Air Slash,Focus Blast,Solar Beam
Charizard,Triathlete Darren,96,Flare Blitz,Dragon Claw,Dragon Dance,Roost
Charizard,Elite Four Drake [Double],100,Heat Wave,Hurricane,Aura Sphere,Tailwind
Chatot,Guitarist Brian,36,Boomburst,Chatter,Heat Wave,Sing
Chesnaught,Black Belt Atsushi,74,Wood Hammer,Drain Punch,Shadow Claw,Swords Dance
Chimecho,Psychic Edward,33,Psychic,Dazzling Gleam,Shadow Ball,Charge Beam
Cinccino,Triathlete Maria,30,Tail Slap,Rock Blast,Triple Axel,Sing
Cinccino,Leader Norman [Boss],42,Tail Slap,Bullet Seed,Rock Blast,Triple Axel
Cinderace,Kindler Jace,54,Pyro Ball,High Jump Kick,Gunk Shot,Zen Headbutt
Cinderace,Team Magma Grunt,76,Pyro Ball,Acrobatics,Low Kick,Bulk Up
Cinderace,Hex Maniac Kathleen [Double Battle With Psychic Nicholas],85,Pyro Ball,Zen Headbutt,Iron Head,Sucker Punch
Cinderace,Bird Keeper Aidan [Double Battle With Cool Trainer Athena],89,Pyro Ball,Gunk Shot,Zen Headbutt,Coaching
Cinderace,Sis And Bro Reli & Ian [Double],90,Pyro Ball,Low Sweep,Super Fang,Coaching
Cinderace,Battle Girl Helene,95,Pyro Ball,Gunk Shot,Sucker Punch,Substitute
Clawitzer,Fisherman Claude,48,Water Pulse,Aura Sphere,Dark Pulse,Sleep Talk
Clawitzer,Sailor Dwayne,58,Water Pulse,Dragon Pulse,Aura Sphere,Aqua Jet
Clawitzer,Swimmer♀ Grace [Double Battle With Swimmer♂ Declan],81,Muddy Water,Water Pulse,Dragon Pulse,Terrain Pulse
Clawitzer,Lass Crissy,91,Water Pulse,Aura Sphere,Dark Pulse,Terrain Pulse
Claydol,Pokemon Breeder Isaac,30,Earth Power,Extrasensory,Signal Beam,Ancient Power
Claydol,Cool Trainer Alexia,38,Drill Run,Stored Power,Body Press,Cosmic Power
Clefable,Hiker Mike,25,Draining Kiss,Ice Beam,Thunderbolt,Mystical Fire
Clefable,Cool Trainer George,39,Moonblast,Flamethrower,Calm Mind,Soft Boiled
Clefable,Picnicker Irene,44,Moonblast,Focus Blast,Counter,Soft Boiled
Clefable,Bird Keeper Darius,67,Moonblast,Flamethrower,Psychic,Stealth Rock
Clefable,Pokemon Breeder Gabrielle,74,Moonblast,Fire Blast,Psychic,Stealth Rock
Clefable,Team Aqua Grunt,79,Moonblast,Stored Power,Cosmic Power,Soft Boiled
Clefable,Beauty Bridget,91,Blizzard,Fire Blast,Psychic,Stealth Rock
Clefable,Cool Trainer Felix,93,Moonblast,Flamethrower,Calm Mind,Soft Boiled
Clefable,Old Couple John & Jay [Double],95,Moonblast,Fire Blast,Knock Off,Follow Me
Clefairy,Twins Gina & Mia [Double],21,Follow Me,Helping Hand,,
Clobbopus,Triathlete Mikey,9,Rock Smash,Bind,Detect,
Cloyster,Ruin Maniac Rigger,44,Liquidation,Frost Breath,Weather Ball,Shell Smash
Cloyster,Team Aqua Grunt,74,Liquidation,Icicle Spear,Rock Blast,Shell Smash
Cloyster,Team Aqua Grunt,87,Hydro Pump,Explosion,Toxic Spikes,Shell Smash
Cloyster,Swimmer♂ Reed,88,Icicle Spear,Weather Ball,Rock Blast,Shell Smash
Cloyster,Winstrate Vito [Boss],95,Hydro Pump,Freeze Dry,Explosion,Shell Smash
Coalossal,Pokemon Breeder Pat,71,Burn Up,Power Gem,Earth Power,Will O Wisp
Coalossal,Team Magma Grunt,74,Burn Up,Stone Edge,Explosion,Stealth Rock
Coalossal,Triathlete Chase [Double Battle With Triathlete Allison],88,Burn Up,Stone Edge,Heat Wave,Solar Beam
Cofagrigus,Psychic Marlene,52,Hex,Body Press,Will O Wisp,Rest
Combusken,Leader Brawly [Boss],20,Double Kick,Incinerate,Thunder Punch,Work Up
Comfey,Swimmer♀ Tisha,88,Dazzling Gleam,Draining Kiss,Calm Mind,Leech Seed
Conkeldurr,Cool Trainer Jody,40,Close Combat,Mach Punch,Thunder Punch,Ice Punch
Conkeldurr,Cool Trainer Gustavo,70,Drain Punch,Mach Punch,Ice Punch,Counter
Conkeldurr,Psychic Hannah [Double Battle With Battle Girl Sylvia],85,Hammer Arm,Mach Punch,Poison Jab,Ice Punch
Conkeldurr,Black Belt Koichi,96,Mach Punch,Ice Punch,Thunder Punch,Bulk Up
Copperajah,Collector John,45,Heavy Slam,,,
Copperajah,Swimmer♀ Tisha,87,Heavy Slam,Power Whip,Earthquake,Stealth Rock
Copperajah,Pokéfan Bethany,90,Iron Head,Earthquake,Rock Slide,Stealth Rock
Corsola,Youngster Tommy,24,Scald,Ancient Power,Calm Mind,Recover
Corsola_Galarian,Psychic Kayla,74,Night Shade,Strength Sap,Toxic,Will O Wisp
Corviknight,Cool Trainer Alexia,39,Iron Head,Dual Wingbeat,Body Press,Bulk Up
Corviknight,Twins Amy & Liv [Double],40,Pluck,Light Screen,Reflect,Roost
Corviknight,Bird Keeper Jared,68,Dual Wingbeat,Body Press,Bulk Up,Roost
Corviknight,Team Magma Grunt,84,Body Press,Power Trip,Iron Defense,Agility
Corviknight,Fisherman Roger [Double Battle With Black Belt Koji],89,Dual Wingbeat,Body Press,Bulk Up,Roost
Crabominable,Black Belt Rhett [Double Battle With Guitarist Marcos],38,Close Combat,Ice Punch,Crabhammer,Protect
Crabominable,Elite Four Glacia [Double],100,Close Combat,Ice Hammer,Reversal,Crabhammer
Cradily,Hiker Lenny,50,Ancient Power,Earth Power,Cosmic Power,Rest
Cradily,Ruin Maniac Chip,70,Power Whip,Rock Slide,Curse,Rest
Cramorant,School Kid Karen,24,Surf,Drill Peck,Whirlpool,Belch
Cramorant,Pokémaniac Mark,72,Hurricane,Surf,Belch,Roost
Cranidos,Youngster Josh,23,Rock Tomb,Zen Headbutt,Ice Fang,Bite
Crawdaunt,Winstrate Vito [Boss],47,Crabhammer,Knock Off,Aqua Jet,Close Combat
Crawdaunt,Team Aqua Grunt,75,Crabhammer,Knock Off,Aqua Jet,Close Combat
Crawdaunt,Team Aqua Grunt,87,Crabhammer,Knock Off,Aqua Jet,Swords Dance
Crawdaunt,Elite Four Drake,100,Crabhammer,Lash Out,Close Combat,Dragon Dance
Croagunk,Team Aqua Grunt [Boss],12,Belch,Rock Smash,Poison Sting,Fake Out
Crobat,Black Belt Rhett [Double Battle With Guitarist Marcos],38,Dual Wingbeat,Super Fang,Hypnosis,Tailwind
Crobat,Ninja Boy Lao,46,Brave Bird,Sludge Bomb,Heat Wave,Giga Drain
Crobat,Winstrate Vito [Boss],47,Sludge Bomb,Heat Wave,Giga Drain,Nasty Plot
Crobat,Bird Keeper Darius,66,Brave Bird,Cross Poison,Heat Wave,Hypnosis
Crobat,Team Magma Grunt,75,Hurricane,Sludge Bomb,Heat Wave,Hidden Power Grass
Crobat,Team Aqua Grunt,80,Acrobatics,Heat Wave,Giga Drain,Super Fang
Crobat,Hex Maniac Kathleen [Double Battle With Psychic Nicholas],85,Acrobatics,Super Fang,Screech,Tailwind
Crobat,Team Aqua Grunt,86,Sludge Wave,Air Slash,Giga Drain,Nasty Plot
Crobat,Elite Four Phoebe,99,Acrobatics,Super Fang,Hypnosis,Roost
Crustle,Camper Travis,44,Stone Edge,X Scissor,Earthquake,Shell Smash
